id,course_name,degree_id,college_dunia_link,target_study_link,careers_360_link,status,sequence,is_deleted,created_by,created_on,updated_on,updated_by
270,"DMLT (Diploma in medical laboratory and technology)",4,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,https://collegedunia.com/courses/diploma-in-medical-laboratory-technology-dmlt,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
271,"BPT (Bachelor of Physiotherapy)",3,"https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.","https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.","https://www.careers360.com/courses/bpt-bachelor-of-physiotherapy#:~:text=What%20is%20Bachelor%20of%20Physiotherapy,complete%20a%20six%20months%20internship.",Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
272,"BTECH AND MTECH DUAL DEGREE",4,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,https://www.careers360.com/courses/b-tech-dual-degree,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
273,"BAMMC (Bachelor of Arts Multi Media and Mass Communication)",3,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,https://www.careers360.com/colleges/vande-mataram-degree-college-dombivli/bammc-course,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
274,"Bachelor of Hotel Management and Catering Technology [BHMCT]",3,https://collegedunia.com/courses/bachelor-of-hotel-management-and-catering-technology-bhmct,https://collegedunia.com/courses/bachelor-of-hotel-management-and-catering-technology-bhmct,https://collegedunia.com/courses/bachelor-of-hotel-management-and-catering-technology-bhmct,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
275,"BTTM (Bachelor of Tourism and Travel Management)",3,https://www.careers360.com/courses/bttm-bachelor-of-tourism-and-travel-management,https://www.careers360.com/courses/bttm-bachelor-of-tourism-and-travel-management,https://www.careers360.com/courses/bttm-bachelor-of-tourism-and-travel-management,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
276,M.Voc,2,https://www.careers360.com/colleges/vikas-college-of-arts-science-and-commerce-mumbai/mvoc-medical-lab-technology-course,https://www.careers360.com/colleges/vikas-college-of-arts-science-and-commerce-mumbai/mvoc-medical-lab-technology-course,https://www.careers360.com/colleges/vikas-college-of-arts-science-and-commerce-mumbai/mvoc-medical-lab-technology-course,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
277,"B Pharm + MBA",2,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
278,BCS,3,https://collegedunia.com/courses/bachelors-of-computer-science-bcs,https://collegedunia.com/courses/bachelors-of-computer-science-bcs,https://collegedunia.com/courses/bachelors-of-computer-science-bcs,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
280,BSTC,3,https://targetstudy.com/colleges/basic-school-training-certificate-bstc-certificate-colleges-in-maharashtra.html,https://targetstudy.com/colleges/basic-school-training-certificate-bstc-certificate-colleges-in-maharashtra.html,https://targetstudy.com/colleges/basic-school-training-certificate-bstc-certificate-colleges-in-maharashtra.html,Active,0,No,0,"2023-05-15 06:22:21","2024-01-03 15:30:18",0
